City,Id,Country,Smart_Mobility ,Smart_Environment,Smart_Government ,Smart_Economy ,Smart_People,Smart_Living,SmartCity_Index,Relative_Melb_Index,lat,lng,iso2,population
Oslo,1,Norway,6480,6512,7516,4565,8618,9090,7138,1077,59.9111,10.7528,NO,693494
Bergen,2,Norway,7097,6876,7350,4905,8050,9090,7296,1235,60.3925,5.3233,NO,257087
Amsterdam,3,Netherlands,7540,5558,8528,8095,7098,7280,7311,1250,52.3667,4.8833,NL,862965
Copenhagen,4,Denmark,7490,7920,8726,5580,5780,7200,7171,1110,55.6761,12.5689,DK,602481
Stockholm,5,Sweden,6122,7692,8354,4330,6743,7730,6812,751,59.3294,18.0686,SE,972647
Montreal,6,Canada,7490,4848,6624,6180,8465,9920,7353,1292,45.5089,-73.5617,CA,3519595
Vienna,7,Austria,5683,7608,6232,5415,8580,7500,6771,710,48.2083,16.3731,AT,1911191
Odense,8,Denmark,6160,8404,7578,5200,6955,7200,6886,825,55.4004,10.3833,DK,158222
Singapore,9,Singapore,5790,4344,5560,5535,9695,10000,6813,752,1.3,103.8,SG,5745000
Boston,10,United States,7870,5224,6020,8935,6573,6220,6852,791,42.3188,-71.0846,US,4688346
Zurich,11,Switzerland,5782,8844,5856,6380,7200,7960,6984,923,47.3786,8.54,CH,434008
Trondheim,12,Norway,6492,7102,6686,4945,7558,9090,7039,978,63.44,10.4,NO,183378
Aalborg,14,Denmark,5593,8312,7502,5165,6955,7200,6720,659,57.0337,9.9166,DK,122219
Ottawa,15,Canada,6793,5136,7550,4285,6703,9920,6852,791,45.4247,-75.695,CA,989567
Stavanger,17,Norway,5317,7162,6600,5360,7595,9090,6818,757,58.9701,5.7333,NO,129300
Los Angeles,18,United States,7745,4574,4750,7235,7498,6220,6437,376,34.1139,-118.4068,US,12750807
Helsinki,19,Finland,5765,6140,6580,7130,7523,8710,6920,859,60.1756,24.9342,FI,642045
Vancouver,20,Canada,5975,5348,6726,7385,7725,9920,7152,1091,49.25,-123.1,CA,2264823
Berlin,21,Germany,7677,7090,5940,6060,6040,5690,6530,469,52.5167,13.3833,DE,3644826
Toronto,22,Canada,6780,4712,6158,5885,7158,9920,6881,820,43.7417,-79.3733,CA,5429524
New York,23,United States,7607,4468,6038,6520,6610,6220,6336,275,40.6943,-73.9249,US,18713220
Chicago,24,United States,8110,4680,5170,7265,7123,6220,6551,490,41.8373,-87.6862,US,8604203
Taipei,25,Taiwan,4978,4366,7044,3310,7858,7350,5755,-306,25.0478,121.5319,TW,2684567
Reykjavik,27,Iceland,3785,6340,7604,9225,7285,4780,6124,63,64.1475,-21.935,IS,128793
Lyon,28,France,7295,7298,6396,7510,7075,6750,7075,1014,45.76,4.84,FR,516092
Helsingborg,29,Sweden,4578,8312,7396,6245,4590,7730,6393,332,56.0424,12.721,SE,113816
Munich,30,Germany,6265,7454,6470,6385,5398,5690,6278,217,48.1372,11.5755,DE,1471508
Philadelphia,31,United States,7478,4800,5356,7060,6930,6220,6389,328,40.0077,-75.1339,US,5649300
Hamburg,32,Germany,7273,7272,6038,6925,4660,5690,6410,349,53.55,10,DE,1841179
Geneva,33,Switzerland,4870,8706,5326,6150,5650,7960,6431,370,46.2,6.15,CH,201818
Luxembourg,34,Luxembourg,3747,7090,8254,8440,4723,6820,6255,194,49.6106,6.1328,LU,124509
Aarhus,35,Denmark,5577,8102,6574,4595,5818,7200,6327,266,56.1572,10.2107,DK,237551
Turku,36,Finland,4530,6504,5986,8100,7050,8710,6676,615,60.4517,22.27,FI,187604
Espoo,37,Finland,5342,6458,6256,7950,6503,8710,6804,743,60.21,24.66,FI,269802
Paris,38,France,6362,6586,6898,6970,6528,6750,6650,589,48.8566,2.3522,FR,11020000
Hannover,39,Germany,6420,7878,6422,6660,5208,5690,6391,330,52.3744,9.7386,DE,538068
Strasbourg,40,France,5620,7570,6792,7345,5715,6750,6562,501,48.5833,7.7458,FR,465069
Joensuu,41,Finland,5045,6730,6356,8325,5463,8710,6703,642,62.6,29.7639,FI,75514
Sydney,42,Australia,6263,3890,5932,5075,7305,9620,6442,381,-33.865,151.2094,AU,5312163
San Francisco,44,United States,7217,5148,4746,8565,5495,6220,6319,258,37.7562,-122.443,US,3592294
Oulu,45,Finland,5258,6488,5642,8135,7105,8710,6816,755,65.0142,25.4719,FI,200526
Cologne,46,Germany,6825,7514,4090,7020,6853,5690,6396,335,50.9422,6.9578,DE,1085664
Bochum,47,Germany,4442,7998,6058,7645,5340,5690,6043,-18,51.4833,7.2167,DE,364628
Stuttgart,48,Germany,5525,7802,5888,7485,4908,5690,6168,107,48.7761,9.1775,DE,634830
London,50,United Kingdom,7178,6496,5014,5840,6360,4550,5987,-74,51.5072,-0.1275,GB,10979000
Tampere,51,Finland,5203,6534,6696,8365,5293,8710,6736,675,61.4981,23.7608,FI,225118
Adelaide,52,Australia,6313,4148,5792,3410,4678,9620,5892,-169,-34.9289,138.6011,AU,1345777
Melbourne,53,Australia,7230,3906,5848,2780,5188,9620,6061,0,-37.8136,144.9631,AU,5078193
Tokyo,54,Japan,7787,4516,5476,1800,4158,9320,5914,-147,35.6897,139.6922,JP,37977000
Perth,56,Australia,6677,4026,5134,3370,4810,9620,5885,-176,-31.9522,115.8589,AU,2059484
Vantaa,57,Finland,5223,6444,5722,7760,5500,8710,6542,481,60.3,25.0333,FI,214605
Auckland,58,New Zealand,4913,4974,5972,3025,7855,9170,6004,-57,-36.85,174.7833,NZ,1470100
Osaka,59,Japan,7233,4758,5732,2105,3403,9320,5795,-266,34.75,135.4601,JP,14977000
Bordeaux,60,France,5550,7586,6832,7720,3425,6750,6296,235,44.84,-0.58,FR,257804
Milan,61,Italy,5512,6696,5554,5490,6185,3950,5503,-558,45.4669,9.19,IT,1366180
Madrid,62,Spain,6715,5590,5390,4735,7815,2740,5475,-586,40.4167,-3.7167,ES,6026000
Daejeon,63,South Korea,7018,4192,4304,2250,8635,4710,5314,-747,36.351,127.385,KR,1475221
Nantes,64,France,5512,7524,5932,7495,4468,6750,6268,207,47.2181,-1.5528,FR,633690
Brussels,65,Belgium,4447,5950,6110,5905,6680,4250,5379,-682,50.8333,4.3333,BE,1743000
Marseille,66,France,6087,7010,4188,6955,4920,6750,6080,19,43.2964,5.37,FR,870018
Leeds,67,United Kingdom,6348,7252,4342,6470,6363,4550,5912,-149,53.7997,-1.5492,GB,1901934
Lahti,68,Finland,4290,6686,5880,8210,4385,8710,6290,229,60.9804,25.655,FI,118119
Dublin,69,Ireland,3333,6494,4784,7775,5425,7430,5722,-339,53.3497,-6.2603,IE,1173179
Abu Dhabi,70,United Arab Emirates,7302,2108,5948,3325,5933,2130,4549,-1512,24.4781,54.3686,AE,1000000
Verona,71,Italy,5070,7390,6586,7155,5660,3950,5807,-254,45.4386,10.9928,IT,257275
Seoul,72,South Korea,6250,3754,5222,1490,7860,4710,4967,-1094,37.56,126.99,KR,21794000
Nice,73,France,5358,7480,4500,7795,5675,6750,6241,180,43.7034,7.2663,FR,1006402
Tallinn,74,Estonia,3880,3282,7640,7585,4955,7810,5681,-380,59.4372,24.745,EE,438341
Dubai,75,United Arab Emirates,7280,1850,4142,2395,7125,2130,4297,-1764,25.2697,55.3094,AE,2502715
Catania,76,Italy,4310,7314,5328,6890,5300,3950,5362,-699,37.5027,15.0873,IT,311584
Bayreuth,77,Germany,3932,7696,5630,6395,3108,5690,5339,-722,49.9481,11.5783,DE,74657
Turin,78,Italy,4863,6892,5612,6095,4280,3950,5214,-847,45.0667,7.7,IT,870952
Florence,79,Italy,4792,7224,6582,6815,3580,3950,5384,-677,43.7714,11.2542,IT,380948
Birmingham,80,United Kingdom,6383,7102,3644,7400,4548,4550,5689,-372,52.48,-1.9025,GB,2897303
